Area,PageValue,ExitRate,BounceRate,Prediction
,40,45,20,0
,50,30,10,0
,10,20,70,0
,60,75,70,1
,30,35,10,0
,80,78,80,1
,5,35,35,0
,5,20,70,0
,60,67,82,1
,80,60,80,1
,40,55,80,1
,60,55,100,1
,10,12,12,0
,20,23,23,0
,60,75,65,1
,8,4,6,0
,25,56,79,1
,12,45,25,0
,28,43,15,0
,26,0,32,0
,32,37,21,0
,45,48,12,0
,56,65,65,0
,67,55,72,1
,78,49,80,1
,89,65,81,1
,21,12,44,0
,11,20,59,0
a,1,32,35,0
,5,20,45,0
,42,43,20,0
,62,60,75,1
,5,15,5,0
,20,30,5,0
,80,75,80,1
,60,60,70,1
,70,80,60,0
,0,30,0,0
,45,45,15,1
